3,Office Supplies,27-01-2011,292494523,235
2,Beverages,28-12-2015,361825549,341
4,Vegetables,13-01-2011,141515767,592
2,Beverages,27-10-2015,127481591,110
1,Vegetables,20-02-2011,844532620,438
3,Meat,21-11-2014,411809480,886
3,Cereal,26-07-2016,773452794,847
2,Baby Food,20-10-2012,479823005,145
2,Office Supplies,22-02-2015,498603188,347
1,Household,27-08-2016,151717174,268
4,Clothes,21-06-2011,181401288,341
6,Snacks,19-09-2013,500204360,429
5,Beverages,15-11-2015,640987718,433
2,Snacks,26-09-2011,878520286,246
3,Cosmetics,14-05-2016,192088067,522
2,Office Supplies,14-08-2010,746630275,175
2,Snacks,13-04-2012,246883237,690
1,Cosmetics,19-09-2013,967895781,190
2,Vegetables,26-02-2017,223957431,257
2,Baby Food,20-05-2011,121455848,540
6,Baby Food,24-10-2013,332936227,332
5,Beverages,14-06-2011,692031657,203
2,Office Supplies,20-06-2015,365978467,839
5,Baby Food,30-11-2016,528934037,349
5,Fruits,25-03-2015,965943562,208
4,Cosmetics,22-08-2013,233629691,133
2,Beverages,23-06-2013,212921321,222
5,Baby Food,24-10-2016,798493468,130
1,Clothes,18-03-2012,671986758,167
2,Cosmetics,30-10-2012,540041816,243
2,Baby Food,25-10-2013,765008771,310
5,Baby Food,16-02-2016,611399734,896
6,Personal Care,16-03-2014,856333482,394
4,Fruits,24-09-2016,652983844,889
2,Cosmetics,30-09-2010,574837148,156
3,Cereal,21-07-2017,289660394,679
2,Personal Care,26-10-2015,771969211,962
2,Personal Care,24-02-2017,835580909,329
4,Office Supplies,30-03-2011,869961678,516
2,Snacks,22-04-2015,723186051,553
3,Office Supplies,21-12-2011,848183858,278
2,Personal Care,14-08-2010,322626245,640
3,Beverages,28-10-2012,523904788,124
3,Fruits,28-07-2017,672654092,148
5,Baby Food,13-11-2014,230407607,252
1,Personal Care,26-08-2012,129491746,472
4,Vegetables,15-07-2014,606854999,668
3,Cosmetics,14-04-2011,345045220,142
2,Vegetables,14-05-2013,900816953,553
3,Household,23-10-2010,827793490,675
6,Office Supplies,19-07-2015,272820842,136
4,Personal Care,28-10-2012,548818433,364
2,Meat,25-08-2016,530341231,314
3,Beverages,25-10-2013,875250566,157
3,Beverages,27-05-2016,688236653,107
5,Snacks,25-12-2011,356917321,840
2,Vegetables,13-12-2011,897616755,327
5,Baby Food,20-07-2016,475433194,162
5,Vegetables,18-06-2012,690415465,739
6,Cosmetics,23-02-2010,962924897,256
4,Cereal,23-07-2012,163533055,224
1,Office Supplies,17-04-2011,905661237,217
3,Snacks,22-03-2011,260462510,535
2,Fruits,29-03-2016,968538653,667
2,Cereal,14-01-2012,254942739,243
3,Beverages,17-03-2013,563473594,102
2,Personal Care,15-09-2012,358242547,444
1,Meat,26-11-2015,873673427,300
1,Personal Care,23-12-2010,355778777,963
2,Clothes,23-09-2016,287465703,227
3,Household,18-06-2017,311067855,374
2,Household,19-05-2013,486101949,363
5,Office Supplies,18-06-2013,349020898,994
3,Household,16-01-2017,951683223,154
3,Snacks,18-07-2013,268025052,333
1,Household,23-02-2016,348095214,400
3,Household,17-05-2016,162255036,187
3,Personal Care,14-08-2010,551178348,270
3,Household,18-06-2011,175851476,362
6,Meat,17-08-2013,467573249,152
2,Fruits,26-11-2012,677954995,556
2,Meat,29-12-2013,462706220,142
4,Vegetables,29-06-2016,691860854,532
2,Office Supplies,24-06-2017,349245774,443
6,Beverages,13-04-2014,838034808,628
2,Cosmetics,17-06-2016,374083030,219
5,Vegetables,31-03-2014,329252374,177
1,Snacks,17-05-2015,231646144,788
5,Vegetables,28-10-2012,667364776,629
4,Vegetables,26-01-2010,871099793,603
3,Baby Food,26-11-2011,728690373,722
7,Office Supplies,24-10-2011,427913033,411
2,Cereal,16-07-2012,584860026,226
4,Snacks,28-08-2010,562908399,580
3,Clothes,23-06-2010,241779744,245
5,Cereal,13-01-2011,544817435,285
2,Vegetables,23-01-2015,298936975,862
5,Beverages,24-11-2010,513562190,105
2,Beverages,27-08-2010,918429410,803
3,Snacks,28-02-2016,413587462,835
5,Meat,25-02-2015,219397675,127
4,Cosmetics,17-05-2015,726533877,167
2,Personal Care,24-06-2010,145982396,469
6,Beverages,16-02-2014,359042060,234
